si,ti,mi,ai,cti,so,to,mo,ao,cto,dec,held,signal,batch,H
-0.016305339656526696,-5.976899826452382,-0.6932122792819705,0.8214285714285714,28,-0.017146120589661362,-4.977932724838545,-0.7186377895031687,0.8214285714285714,28,0.8328619969180948,True,cx1.5_m5,trend-duration,5
-0.01255058540303361,-6.035468260126818,-0.9342748807166016,0.7142857142857143,28,-0.01073904218826921,-4.072660066342492,-0.601911956811948,0.7142857142857143,28,0.6747877531306771,True,cx1.5_m5,trend-duration,10
-0.00629700691939028,-3.6549659594082105,-0.7572180257883734,0.6785714285714286,28,-0.008162119311242166,-3.7620881397940873,-0.9092583073717161,0.6071428571428571,28,1.0293086670506835,True,cx1.5_m5,trend-duration,15
-0.005930071913970325,-3.922831357995153,-0.7226353791661605,0.6428571428571429,28,-0.020853692511869776,-11.148399402358548,-0.9729041582586043,0.9642857142857143,28,2.8419267577325007,True,cx1.5_m5,trend-duration,20
-0.0041151326816873945,-1.5077993927040625,-0.45194978233637495,0.5,28,-0.007698891958737963,-2.2396743535698644,-0.8133965300934239,0.6071428571428571,28,1.4853927945635192,True,cx1.5_s10,trend-duration,5
-0.010962986463023572,-5.245867622196907,-0.8290950189695008,0.75,28,-0.012727147419405782,-4.901487657664202,-0.7489504633468689,0.6785714285714286,28,0.9343521435661994,True,cx1.5_s10,trend-duration,10
-0.008226513851817718,-4.7447690927326205,-0.7243253212325307,0.75,28,-0.013576110996586871,-6.365153492735455,-0.9657728599833423,0.6428571428571429,28,1.3415096432162978,True,cx1.5_s10,trend-duration,15
-0.010429086641594004,-6.9233339151126625,-0.6859696155287416,0.7142857142857143,28,-0.02497936636244516,-13.601671796526247,-0.9527824212421787,0.9642857142857143,28,1.9646129976247013,True,cx1.5_s10,trend-duration,20
-0.006869797807235178,-2.52297840422285,-0.49752345047632157,0.6428571428571429,28,-0.010651606525464208,-3.0978078930870425,-0.7520520334689973,0.6428571428571429,28,1.2278376572316545,True,cx1.5_x15,trend-duration,5
-0.00578703849961687,-2.7667614766500317,-0.5905906490522252,0.6428571428571429,28,-0.018835282843187307,-7.2540605204803965,-0.9981824366819503,0.8571428571428571,28,2.6218597380731006,True,cx1.5_x15,trend-duration,10
-0.005922648385094875,-3.384980321315552,-0.6625640044134092,0.6785714285714286,28,-0.023567992761042322,-11.078500163374587,-0.9531227062486628,0.8571428571428571,28,3.272840345219199,True,cx1.5_x15,trend-duration,15
-0.01096384276666279,-7.1783762300296,-0.7594511253439724,0.7142857142857143,28,-0.02927721215886578,-15.878302233882799,-0.9713319637103283,0.8928571428571429,28,2.2119629460849985,True,cx1.5_x15,trend-duration,20
-0.011066032419195626,-4.093709078885402,-0.7427126715468121,0.7857142857142857,28,-0.015307965779276456,-4.441843687409566,-0.7416962177510151,0.75,28,1.0850413651326076,True,cx1.5_m20,trend-duration,5
-0.013832564923587809,-6.684724689176895,-0.871205464572384,0.75,28,-0.02018866497282218,-7.716491633053365,-0.7072015413094659,0.75,28,1.1543469614458444,True,cx1.5_m20,trend-duration,10
