block,pair_a,pair_b,observed,expected,kappa,shared_leg
is,AUDNZD,EURGBP,0.18479643765903309,0.26354573354311134,-0.10693032747701266,none
is,AUDNZD,EURJPY,0.27958015267175573,0.2638981961683145,0.021304059332297207,none
is,AUDNZD,EURNZD,0.3139312977099237,0.2667814294686272,0.06430533832104984,NZD
is,AUDNZD,EURUSD,0.19974554707379136,0.26451976056821347,-0.08807063741707735,none
is,AUDNZD,GBPAUD,0.2703562340966921,0.2597139670700361,0.014375885202825218,AUD
is,AUDNZD,GBPCAD,0.2433206106870229,0.2648349940757143,-0.029264700054163307,none
is,AUDNZD,GBPCHF,0.16571246819338423,0.2601044681415872,-0.12757476682027855,none
is,AUDNZD,GBPJPY,0.23695928753180662,0.2693028928643112,-0.044264039116413856,none
is,AUDNZD,GBPNZD,0.3237913486005089,0.2647370653095844,0.08031723143475124,NZD
is,AUDNZD,GBPUSD,0.26240458015267176,0.2628262403770824,-0.0005719957050917502,none
is,AUDNZD,NZDCAD,0.26590330788804073,0.2512006390458986,0.01963499117227923,NZD
is,AUDNZD,NZDCHF,0.23091603053435114,0.26050144384230395,-0.040007398339860716,NZD
is,AUDNZD,NZDJPY,0.263676844783715,0.266266291785638,-0.003529137305446612,NZD
is,AUDNZD,NZDUSD,0.22073791348600508,0.2696213636863949,-0.06692891572940335,NZD
is,AUDNZD,USDCAD,0.2875318066157761,0.26371043192251165,0.03235326931965638,none
is,AUDNZD,USDCHF,0.21119592875318066,0.2624304786693342,-0.06946402804676657,none
is,AUDNZD,USDJPY,0.22932569974554706,0.2674645028455995,-0.0520641023516349,none
is,AUDUSD,CADCHF,0.21596692111959287,0.2704680226158797,-0.0747069397721416,none
is,AUDUSD,CADJPY,0.3260178117048346,0.27236812394382615,0.07373190967360352,none
is,AUDUSD,CHFJPY,0.2611323155216285,0.27271573059715504,-0.015926942961432905,none
is,AUDUSD,EURAUD,0.3610050890585242,0.26268976733420096,0.1333432215756141,AUD
is,AUDUSD,EURCAD,0.28053435114503816,0.26552757706427366,0.020432045659089026,none
is,AUDUSD,EURCHF,0.2763994910941476,0.28730003512486324,-0.01529471666611547,none
is,AUDUSD,EURGBP,0.25127226463104324,0.2705737411702245,-0.026461175897542755,none
is,AUDUSD,EURJPY,0.2926208651399491,0.27402876515872554,0.02560996784574878,none
is,AUDUSD,EURNZD,0.2993002544529262,0.2743623097268354,0.034366936916828225,none
is,AUDUSD,EURUSD,0.30852417302798985,0.2717548551625456,0.050490302786228965,USD
is,AUDUSD,GBPAUD,0.3667302798982188,0.26788626423609085,0.13501183058529997,AUD
is,AUDUSD,GBPCAD,0.3416030534351145,0.2795153052140189,0.08617497175222946,none
is,AUDUSD,GBPCHF,0.30852417302798985,0.2650924617511282,0.05909819809489252,none
is,AUDUSD,GBPJPY,0.28403307888040713,0.28185891863980994,0.003027483452804617,none
is,AUDUSD,GBPNZD,0.29103053435114506,0.2726895285822505,0.025217574185536443,none
is,AUDUSD,GBPUSD,0.4026717557251908,0.26802911074205726,0.1839453548755628,USD
is,AUDUSD,NZDCAD,0.30311704834605596,0.24488757211118234,0.07711365100647939,none
is,AUDUSD,NZDCHF,0.3438295165394402,0.26754492987976614,0.10414916869529188,none
is,AUDUSD,NZDJPY,0.34096692111959287,0.27476727754792846,0.09128055246574915,none
is,AUDUSD,NZDUSD,0.4821882951653944,0.28178233591671037,0.27903234530506277,USD
is,AUDUSD,USDCAD,0.36895674300254455,0.2752828198952405,0.12925583341871827,USD
