date,pair,trend_score,chop_score,shape2,activity,scale_28,combined2,settling,m_fail,m_retr,m_space,m_panel,sample
1999-04-21,GBPNZD,,,,weak,3.78278,,,,,,,is
1999-04-21,GBPUSD,,,,medium,4.33523,,,,,,,is
1999-04-21,GBPCAD,,,,weak,3.20411,,,,,,,is
1999-04-21,GBPCHF,,,,medium,3.80628,,,,,,,is
1999-04-21,GBPJPY,,,,weak,3.45972,,,,,,,is
1999-04-21,AUDNZD,,,,weak,3.36693,,,,,,,is
1999-04-21,AUDUSD,,,,medium,4.31289,,,,,,,is
1999-04-21,AUDCAD,,,,weak,3.91019,,,,,,,is
1999-04-21,AUDCHF,,,,medium,4.45005,,,,,,,is
1999-04-21,AUDJPY,,,,medium,3.82178,,,,,,,is
1999-04-21,NZDUSD,,,,weak,3.7772,,,,,,,is
1999-04-21,NZDCAD,,,,weak,3.78329,,,,,,,is
1999-04-21,NZDCHF,,,,medium,4.00957,,,,,,,is
1999-04-21,NZDJPY,,,,medium,3.54587,,,,,,,is
1999-04-21,USDCAD,,,,weak,3.3276,,,,,,,is
1999-04-21,USDCHF,,,,medium,4.2113,,,,,,,is
