day,pair,dir,size,entry,stop
2016-04-22,AUDNZD,1,1.0,0.0,0.0
2016-04-22,CADJPY,1,1.0,0.0,0.0
2016-04-22,CHFJPY,-1,1.0,0.0,0.0
2016-04-22,EURAUD,-1,1.0,0.0,0.0
2016-04-22,EURCHF,1,1.0,0.0,0.0
2016-04-22,NZDUSD,-1,1.0,0.0,0.0
2016-04-22,USDCHF,1,1.0,0.0,0.0
2016-04-25,AUDCAD,-1,3.0,0.0,0.0
2016-04-25,AUDCHF,1,1.0,0.0,0.0
2016-04-25,AUDNZD,1,1.0,0.0,0.0
2016-04-25,CADJPY,1,1.0,0.0,0.0
2016-04-25,CHFJPY,-1,1.0,0.0,0.0
2016-04-25,EURAUD,-1,1.0,0.0,0.0
2016-04-25,EURCHF,1,1.0,0.0,0.0
2016-04-25,NZDUSD,-1,1.0,0.0,0.0
2016-04-25,USDCHF,1,1.0,0.0,0.0
2016-04-26,AUDCAD,-1,3.0,0.0,0.0
2016-04-26,AUDCHF,1,1.0,0.0,0.0
2016-04-26,AUDNZD,1,1.0,0.0,0.0
2016-04-26,CADJPY,1,1.0,0.0,0.0
2016-04-26,CHFJPY,-1,1.0,0.0,0.0
2016-04-26,EURCHF,1,1.0,0.0,0.0
2016-04-26,NZDUSD,-1,1.0,0.0,0.0
2016-04-26,USDCHF,1,1.0,0.0,0.0
2016-04-27,AUDCAD,-1,2.9551944897444553,0.0,0.0
2016-04-27,AUDCHF,1,0.9850648299148184,0.0,0.0
2016-04-27,AUDJPY,-1,0.9850648299148184,0.0,0.0
2016-04-27,AUDNZD,-1,2.9551944897444553,0.0,0.0
2016-04-27,CADJPY,1,0.9850648299148184,0.0,0.0
2016-04-27,CHFJPY,-1,0.9850648299148184,0.0,0.0
2016-04-27,EURCHF,1,0.9850648299148184,0.0,0.0
2016-04-27,EURNZD,1,0.9850648299148184,0.0,0.0
2016-04-27,NZDUSD,-1,0.9850648299148184,0.0,0.0
2016-04-27,USDCHF,1,0.9850648299148184,0.0,0.0
